,Index,\t 1000: Bullish Weak \n 250: Bullish - Weak,\t 1000: Bullish Weak \n 250: Bullish - Medium,\t 1000: Bullish Weak \n 250: Bullish - Strong,\t 1000: Bullish Weak \n 250: Bearish - Weak,\t 1000: Bullish Weak \n 250: Bearish - Medium,\t 1000: Bullish Weak \n 250: Bearish - Strong,\t 1000: Bullish Medium \n 250: Bullish - Weak,\t 1000: Bullish Medium \n 250: Bullish - Medium,\t 1000: Bullish Medium \n 250: Bullish - Strong,\t 1000: Bullish Medium \n 250: Bearish - Weak,\t 1000: Bullish Medium \n 250: Bearish - Medium,\t 1000: Bullish Medium \n 250: Bearish - Strong,\t 1000: Bullish Strong \n 250: Bullish - Weak,\t 1000: Bullish Strong \n 250: Bullish - Medium,\t 1000: Bullish Strong \n 250: Bullish - Strong,\t 1000: Bullish Strong \n 250: Bearish - Weak,\t 1000: Bullish Strong \n 250: Bearish - Medium,\t 1000: Bullish Strong \n 250: Bearish - Strong,\t 1000: Bearish Weak \n 250: Bullish - Weak,\t 1000: Bearish Weak \n 250: Bullish - Medium,\t 1000: Bearish Weak \n 250: Bullish - Strong,\t 1000: Bearish Weak \n 250: Bearish - Weak,\t 1000: Bearish Weak \n 250: Bearish - Medium,\t 1000: Bearish Weak \n 250: Bearish - Strong,\t 1000: Bearish Medium \n 250: Bullish - Weak,\t 1000: Bearish Medium \n 250: Bullish - Medium,\t 1000: Bearish Medium \n 250: Bullish - Strong,\t 1000: Bearish Medium \n 250: Bearish - Weak,\t 1000: Bearish Medium \n 250: Bearish - Medium,\t 1000: Bearish Medium \n 250: Bearish - Strong,\t 1000: Bearish Strong \n 250: Bullish - Weak,\t 1000: Bearish Strong \n 250: Bullish - Medium,\t 1000: Bearish Strong \n 250: Bullish - Strong,\t 1000: Bearish Strong \n 250: Bearish - Weak,\t 1000: Bearish Strong \n 250: Bearish - Medium,\t 1000: Bearish Strong \n 250: Bearish - Strong,"Check 
 (sum of row)"
17,\t 1000: Bullish Strong \n 250: Bearish - Strong,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.59%,0.65%,0.0%,0.0%,4.61%,22.59%,60.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.94
18,\t 1000: Bearish Weak \n 250: Bullish - Weak,5.45%,4.43%,0.38%,0.03%,0.0%,0.0%,0.0%,0.0%,0.03%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,60.32%,7.07%,0.11%,13.57%,0.16%,0.0%,1.72%,0.0%,0.0%,3.58%,0.3%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,97.2
19,\t 1000: Bearish Weak \n 250: Bullish - Medium,0.06%,7.68%,5.92%,0.0%,0.0%,0.0%,0.0%,0.0%,0.03%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.01%,49.07%,6.48%,0.38%,0.0%,0.0%,4.48%,0.93%,0.0%,0.72%,0.02%,0.0%,0.0%,0.0%,0.0%,0.01%,0.02%,0.0%,98.83
20,\t 1000: Bearish Weak \n 250: Bullish - Strong,0.0%,0.1%,18.75%,0.0%,0.0%,0.0%,0.0%,0.0%,0.09%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.48%,21.93%,50.55%,0.0%,0.0%,0.0%,1.43%,2.54%,1.71%,0.06%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,98.65
21,\t 1000: Bearish Weak \n 250: Bearish - Weak,3.78%,0.36%,0.01%,2.87%,0.0%,0.0%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,10.48%,0.14%,0.0%,64.93%,8.18%,0.12%,0.01%,0.0%,0.0%,3.16%,3.36%,0.29%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,97.75
22,\t 1000: Bearish Weak \n 250: Bearish - Medium,0.74%,0.06%,0.0%,4.95%,1.44%,0.0%,0.0%,0.01%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.36%,0.0%,0.0%,20.79%,53.88%,6.43%,0.0%,0.0%,0.0%,0.08%,5.31%,5.11%,0.0%,0.0%,0.0%,0.0%,0.0%,0.05%,99.25
23,\t 1000: Bearish Weak \n 250: Bearish - Strong,0.11%,0.0%,0.0%,1.57%,4.19%,1.67%,0.04%,0.03%,0.0%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,1.24%,19.23%,56.21%,0.0%,0.0%,0.0%,0.0%,0.11%,14.81%,0.0%,0.0%,0.0%,0.0%,0.0%,0.07%,99.31
24,\t 1000: Bearish Medium \n 250: Bullish - Weak,0.0%,0.0%,0.03%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.9%,7.1%,0.69%,0.03%,0.0%,0.0%,53.91%,6.82%,0.11%,16.05%,0.24%,0.0%,1.44%,0.0%,0.0%,3.32%,0.57%,0.03%,98.27
25,\t 1000: Bearish Medium \n 250: Bullish - Medium,0.0%,0.0%,0.06%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,10.63%,8.27%,0.0%,0.0%,0.0%,23.11%,45.55%,5.62%,0.54%,0.0%,0.0%,4.1%,0.73%,0.0%,0.73%,0.05%,0.01%,99.78
26,\t 1000: Bearish Medium \n 250: Bullish - Strong,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.03%,0.0%,0.0%,0.0%,0.0%,0.07%,17.85%,0.0%,0.0%,0.0%,1.6%,17.46%,55.54%,0.0%,0.0%,0.0%,2.09%,2.45%,2.58%,0.1%,0.07%,0.13%,99.97
27,\t 1000: Bearish Medium \n 250: Bearish - Weak,0.0%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,6.31%,0.55%,0.03%,6.47%,0.03%,0.0%,8.23%,0.12%,0.0%,57.8%,12.92%,0.22%,0.01%,0.0%,0.0%,2.25%,3.24%,0.38%,98.6
28,\t 1000: Bearish Medium \n 250: Bearish - Medium,0.01%,0.03%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.78%,0.04%,0.0%,8.05%,3.28%,0.0%,0.26%,0.0%,0.0%,16.5%,54.53%,10.41%,0.0%,0.0%,0.0%,0.04%,2.56%,3.32%,99.85
29,\t 1000: Bearish Medium \n 250: Bearish - Strong,0.03%,0.01%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,0.08%,0.0%,0.0%,1.56%,5.5%,2.38%,0.02%,0.0%,0.0%,0.81%,15.51%,65.43%,0.0%,0.0%,0.0%,0.0%,0.05%,8.52%,99.98
30,\t 1000: Bearish Strong \n 250: Bullish - Weak,0.0%,0.0%,0.03%,0.0%,0.0%,0.0%,0.0%,0.0%,0.04%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,0.0%,0.02%,0.02%,0.0%,0.0%,0.0%,7.92%,7.61%,0.87%,0.09%,0.0%,0.0%,48.55%,7.54%,0.88%,23.76%,0.86%,0.11%,98.32
31,\t 1000: Bearish Strong \n 250: Bullish - Medium,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.14%,8.02%,8.48%,0.0%,0.0%,0.0%,26.74%,40.57%,13.37%,2.21%,0.23%,0.0%,99.77
32,\t 1000: Bearish Strong \n 250: Bullish - Strong,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.82%,0.0%,0.0%,0.0%,0.0%,0.0%,14.64%,0.0%,0.0%,0.0%,2.34%,14.23%,67.29%,0.69%,0.0%,0.0%,100.0
33,\t 1000: Bearish Strong \n 250: Bearish - Weak,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,0.02%,0.0%,0.0%,0.0%,6.48%,0.47%,0.0%,6.86%,0.04%,0.0%,8.8%,0.23%,0.02%,55.21%,19.59%,1.16%,98.9
34,\t 1000: Bearish Strong \n 250: Bearish - Medium,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,0.01%,0.02%,0.0%,0.0%,0.0%,0.82%,0.02%,0.0%,7.84%,4.05%,0.02%,0.52%,0.02%,0.0%,16.11%,54.41%,16.0%,99.87
35,\t 1000: Bearish Strong \n 250: Bearish - Strong,0.02%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.03%,0.0%,0.0%,0.0%,0.04%,0.01%,0.0%,0.03%,0.03%,0.01%,0.03%,0.0%,0.0%,0.89%,3.88%,4.94%,0.03%,0.0%,0.0%,0.96%,10.8%,78.26%,99.99
